No,usia,income,rumah,lokasi,pernikahan,jenis kelamin,status
1,32,11.7,OWNED,RURAL,MARRIED,MALE,GOOD
2,43,10.6,OWNED,URBAN,MARRIED,MALE,GOOD
3,42,3.87,OTHERS,URBAN,MARRIED,MALE,BAD
4,38,11.37,OTHERS,URBAN,MARRIED,MALE,GOOD
5,40,4.86,OWNED,RURAL,MARRIED,MALE,GOOD
6,38,5.85,PARENTS,URBAN,MARRIED,MALE,BAD
7,46,6.21,PARENTS,URBAN,MARRIED,MALE,BAD
8,37,7.29,PARENTS,URBAN,MARRIED,MALE,BAD
9,42,5.69,OWNED,URBAN,MARRIED,FEMALE,GOOD
10,36,5.91,OWNED,URBAN,MARRIED,MALE,BAD
11,37,10.97,OWNED,URBAN,MARRIED,FEMALE,GOOD
12,44,7.95,OWNED,URBAN,MARRIED,FEMALE,GOOD
13,39,7.43,PARENTS,URBAN,MARRIED,FEMALE,BAD
14,37,13.42,OWNED,URBAN,MARRIED,MALE,GOOD
15,38,7.82,OWNED,URBAN,MARRIED,FEMALE,GOOD
16,36,9.32,OWNED,URBAN,MARRIED,FEMALE,GOOD
17,43,6.19,OWNED,URBAN,MARRIED,MALE,GOOD
18,37,3.24,OWNED,URBAN,MARRIED,MALE,BAD
19,42,3.94,PARENTS,URBAN,MARRIED,FEMALE,BAD
20,39,6.24,OWNED,RURAL,MARRIED,FEMALE,GOOD
21,43,4.31,OWNED,RURAL,MARRIED,MALE,GOOD
22,32,4.58,OWNED,URBAN,MARRIED,MALE,BAD
23,42,4.7,OWNED,URBAN,MARRIED,FEMALE,GOOD
24,37,7.46,OWNED,RURAL,SINGLE,MALE,GOOD
25,33,6.23,OWNED,URBAN,MARRIED,MALE,GOOD
26,44,3.37,OWNED,RURAL,MARRIED,MALE,BAD
27,40,8.76,OWNED,RURAL,SINGLE,MALE,GOOD
28,35,7.21,OWNED,URBAN,MARRIED,FEMALE,GOOD
29,39,3.23,OWNED,URBAN,MARRIED,MALE,BAD
30,46,5.46,OWNED,URBAN,MARRIED,FEMALE,GOOD
31,35,6.89,OWNED,URBAN,MARRIED,MALE,GOOD
32,37,7.98,RENT,RURAL,MARRIED,MALE,BAD
33,42,4.09,OWNED,URBAN,MARRIED,MALE,GOOD
34,45,7.57,OWNED,RURAL,MARRIED,FEMALE,GOOD
35,40,16.3,RENT,URBAN,SINGLE,FEMALE,GOOD
36,38,6.76,OWNED,URBAN,MARRIED,MALE,GOOD
37,37,3.92,OWNED,URBAN,MARRIED,MALE,BAD
38,33,5.71,RENT,RURAL,SINGLE,FEMALE,BAD
39,29,3.69,OWNED,RURAL,SINGLE,FEMALE,GOOD
40,37,6.65,RENT,RURAL,MARRIED,MALE,BAD
41,34,5.42,OWNED,RURAL,MARRIED,FEMALE,GOOD
42,46,5.9,OWNED,URBAN,MARRIED,MALE,GOOD
43,42,5.92,OTHERS,RURAL,MARRIED,FEMALE,GOOD
44,36,9.27,OWNED,URBAN,SINGLE,MALE,GOOD
45,37,10.45,OWNED,URBAN,MARRIED,MALE,GOOD
46,41,3.97,OWNED,URBAN,MARRIED,MALE,BAD
47,37,8.12,OWNED,URBAN,MARRIED,MALE,GOOD
48,39,9.31,PARENTS,RURAL,MARRIED,MALE,BAD
49,43,6.57,OWNED,URBAN,SINGLE,FEMALE,GOOD
50,37,5.67,OTHERS,RURAL,SINGLE,MALE,BAD
51,39,6.9,RENT,RURAL,MARRIED,FEMALE,BAD
52,48,4.79,OWNED,URBAN,MARRIED,FEMALE,GOOD
53,37,6.88,OWNED,RURAL,MARRIED,MALE,GOOD
