ID,Age,Gender,Residence.Ownership,number.of.dependants,status
1,32,FEMALE,OWNED,3,GOOD
2,33,FEMALE,PARENTS,4,GOOD
3,34,FEMALE,PARENTS,0,GOOD
4,41,MALE,OWNED,5,GOOD
5,47,MALE,OWNED,3,GOOD
6,21,MALE,RENT,0,GOOD
7,31,FEMALE,RENT,1,BAD
8,29,MALE,RENT,5,BAD
9,37,MALE,OWNED,2,GOOD
10,43,MALE,RENT,1,BAD
11,32,FEMALE,OWNED,3,GOOD
12,36,FEMALE,OWNED,3,GOOD
13,29,FEMALE,OWNED,0,GOOD
14,31,MALE,RENT,1,GOOD
15,28,MALE,OWNED,1,BAD
16,24,MALE,OWNED,0,BAD
17,33,FEMALE,OWNED,4,GOOD
18,38,MALE,OWNED,3,GOOD
19,32,FEMALE,OWNED,1,GOOD
20,32,FEMALE,OWNED,4,GOOD
21,32,FEMALE,OWNED,3,GOOD
22,34,MALE,OWNED,0,GOOD
23,32,MALE,RENT,0,GOOD
24,36,MALE,OWNED,1,GOOD
25,39,MALE,OWNED,5,GOOD
26,26,MALE,OTHERS,1,BAD
27,32,MALE,OWNED,2,GOOD
28,36,FEMALE,RENT,3,BAD
29,26,MALE,OWNED,0,GOOD
30,42,FEMALE,RENT,0,GOOD
31,35,MALE,OWNED,4,GOOD
32,41,MALE,PARENTS,0,GOOD
33,30,MALE,PARENTS,0,BAD
34,33,FEMALE,OWNED,2,GOOD
35,37,MALE,OWNED,4,GOOD
36,34,FEMALE,PARENTS,0,BAD
37,44,MALE,RENT,3,BAD
38,32,MALE,OWNED,5,GOOD
39,30,FEMALE,RENT,3,BAD
40,27,FEMALE,OTHERS,0,GOOD
41,30,FEMALE,PARENTS,4,BAD
42,31,MALE,OWNED,4,GOOD
43,34,FEMALE,OTHERS,5,BAD
44,31,FEMALE,RENT,2,BAD
45,34,MALE,OWNED,3,GOOD
46,40,FEMALE,OWNED,2,GOOD
47,27,FEMALE,RENT,3,GOOD
48,29,MALE,OWNED,0,GOOD
49,35,MALE,RENT,0,GOOD
50,36,FEMALE,OWNED,1,GOOD
51,38,MALE,RENT,5,BAD
52,42,FEMALE,OWNED,0,GOOD
53,48,FEMALE,OWNED,5,GOOD
54,28,FEMALE,OWNED,4,GOOD
55,36,FEMALE,OWNED,5,GOOD
56,33,MALE,OWNED,5,BAD
57,27,FEMALE,OWNED,1,GOOD
58,31,MALE,OWNED,3,BAD
59,21,MALE,OTHERS,0,GOOD
60,41,MALE,RENT,4,BAD
61,38,MALE,OWNED,4,GOOD
62,21,MALE,OWNED,0,BAD
63,30,FEMALE,OWNED,0,GOOD
64,34,FEMALE,OWNED,5,BAD
65,39,MALE,OWNED,1,GOOD
66,26,MALE,OWNED,0,GOOD
67,33,MALE,RENT,3,BAD
68,34,FEMALE,PARENTS,0,GOOD
69,37,FEMALE,OWNED,1,GOOD
70,35,MALE,OWNED,1,GOOD
71,30,MALE,OWNED,2,GOOD
72,44,MALE,RENT,2,GOOD
73,29,FEMALE,RENT,1,GOOD
74,32,FEMALE,OWNED,5,GOOD
75,30,MALE,RENT,5,GOOD
76,39,MALE,RENT,4,BAD
77,40,MALE,PARENTS,0,GOOD
78,42,MALE,PARENTS,5,GOOD
79,32,FEMALE,RENT,1,GOOD
80,23,MALE,RENT,0,BAD
81,38,FEMALE,RENT,0,GOOD
82,39,FEMALE,OWNED,3,GOOD
83,31,MALE,RENT,3,BAD
84,40,FEMALE,OWNED,5,GOOD
85,31,FEMALE,OWNED,0,GOOD
86,29,MALE,RENT,2,GOOD
87,28,MALE,RENT,0,BAD
88,40,MALE,OWNED,1,GOOD
89,40,FEMALE,OWNED,0,GOOD
90,44,MALE,RENT,0,GOOD
91,32,MALE,OWNED,1,GOOD
92,41,FEMALE,OTHERS,5,GOOD
93,37,FEMALE,PARENTS,4,GOOD
94,35,FEMALE,RENT,5,GOOD
95,32,FEMALE,OTHERS,4,GOOD
96,32,FEMALE,OWNED,1,GOOD
97,36,FEMALE,RENT,0,GOOD
98,36,FEMALE,OWNED,2,GOOD
99,33,MALE,OWNED,2,GOOD
100,36,MALE,RENT,5,BAD
101,28,FEMALE,OWNED,0,GOOD
102,26,MALE,PARENTS,1,GOOD
103,30,FEMALE,RENT,1,BAD
104,28,FEMALE,OWNED,0,GOOD
105,24,MALE,OWNED,0,GOOD
106,27,FEMALE,RENT,0,BAD
107,39,FEMALE,PARENTS,0,GOOD
108,30,FEMALE,OTHERS,4,BAD
109,35,MALE,OTHERS,2,BAD
110,51,MALE,RENT,1,GOOD
111,40,FEMALE,OWNED,1,GOOD
112,44,FEMALE,OWNED,5,GOOD
113,38,FEMALE,RENT,1,GOOD
114,33,MALE,RENT,5,BAD
115,27,MALE,PARENTS,1,GOOD
116,35,MALE,OWNED,2,GOOD
117,51,MALE,RENT,2,GOOD
118,30,MALE,OWNED,2,GOOD
119,35,MALE,OWNED,4,BAD
120,36,FEMALE,RENT,0,GOOD
121,27,FEMALE,OWNED,0,GOOD
122,29,MALE,RENT,0,GOOD
123,21,FEMALE,PARENTS,0,GOOD
124,35,MALE,RENT,1,BAD
125,30,MALE,RENT,5,BAD
