ID,Age,Gender,Residence.Ownership,number.of.dependants,status
1,33,MALE,OWNED,2,GOOD
2,23,MALE,OWNED,0,GOOD
3,43,FEMALE,OWNED,2,GOOD
4,44,MALE,OTHERS,4,BAD
5,30,MALE,OWNED,0,GOOD
6,30,FEMALE,OWNED,0,GOOD
7,35,FEMALE,OWNED,3,GOOD
8,47,FEMALE,OWNED,1,GOOD
9,42,MALE,OWNED,0,GOOD
10,42,MALE,RENT,5,GOOD
11,34,MALE,RENT,1,BAD
12,29,MALE,OWNED,0,GOOD
13,40,FEMALE,OWNED,4,GOOD
14,46,MALE,RENT,1,GOOD
15,47,MALE,OWNED,3,GOOD
16,25,MALE,OWNED,0,GOOD
17,37,FEMALE,RENT,3,GOOD
18,51,FEMALE,OWNED,3,GOOD
19,33,MALE,OTHERS,4,GOOD
20,44,MALE,PARENTS,3,GOOD
21,31,MALE,OWNED,1,GOOD
22,30,MALE,OWNED,0,GOOD
23,38,MALE,OWNED,2,GOOD
24,38,FEMALE,OTHERS,1,GOOD
25,25,MALE,OWNED,1,GOOD
26,43,MALE,OWNED,3,BAD
27,34,FEMALE,OWNED,1,GOOD
28,35,MALE,OWNED,2,GOOD
29,42,FEMALE,RENT,4,BAD
30,39,FEMALE,OWNED,1,GOOD
31,31,FEMALE,RENT,0,BAD
32,30,MALE,RENT,3,BAD
33,32,FEMALE,OTHERS,2,GOOD
34,42,MALE,PARENTS,0,GOOD
35,37,MALE,OWNED,3,GOOD
36,30,FEMALE,RENT,2,GOOD
37,21,MALE,OWNED,0,GOOD
38,32,MALE,RENT,2,BAD
39,31,MALE,PARENTS,3,BAD
40,33,MALE,OWNED,2,BAD
41,36,MALE,RENT,2,BAD
42,36,FEMALE,PARENTS,1,GOOD
43,31,MALE,OWNED,2,BAD
44,29,FEMALE,RENT,0,GOOD
45,47,MALE,OWNED,4,GOOD
46,19,MALE,OWNED,0,BAD
47,55,MALE,OWNED,0,GOOD
48,30,MALE,OWNED,3,BAD
49,28,MALE,RENT,5,BAD
50,35,MALE,RENT,3,BAD
51,24,MALE,PARENTS,2,BAD
52,35,MALE,OWNED,4,BAD
53,30,MALE,OTHERS,0,GOOD
54,27,FEMALE,OWNED,3,GOOD
55,40,FEMALE,PARENTS,5,GOOD
56,49,FEMALE,OWNED,4,GOOD
57,29,MALE,PARENTS,1,GOOD
58,27,FEMALE,OWNED,0,GOOD
59,24,FEMALE,RENT,0,BAD
60,35,MALE,OTHERS,0,GOOD
61,38,MALE,PARENTS,4,GOOD
62,34,MALE,OWNED,2,GOOD
63,36,MALE,OWNED,2,GOOD
64,34,MALE,RENT,3,BAD
65,36,MALE,RENT,1,GOOD
66,36,MALE,OWNED,5,BAD
67,48,MALE,OWNED,2,GOOD
68,32,MALE,OTHERS,4,BAD
69,31,FEMALE,OWNED,2,GOOD
70,30,MALE,OWNED,1,BAD
71,37,FEMALE,OWNED,0,GOOD
72,34,MALE,RENT,4,BAD
73,36,FEMALE,OWNED,2,GOOD
74,35,FEMALE,RENT,4,BAD
75,34,MALE,OWNED,1,GOOD
76,40,FEMALE,OWNED,2,GOOD
77,36,FEMALE,RENT,3,GOOD
78,36,FEMALE,OTHERS,2,GOOD
79,26,FEMALE,RENT,0,GOOD
80,31,MALE,PARENTS,2,BAD
81,34,MALE,RENT,0,BAD
82,32,FEMALE,OWNED,5,GOOD
83,33,FEMALE,OWNED,4,GOOD
84,37,FEMALE,OWNED,5,GOOD
85,29,FEMALE,OWNED,3,GOOD
86,31,FEMALE,OWNED,3,GOOD
87,32,FEMALE,RENT,5,GOOD
88,42,FEMALE,OWNED,5,GOOD
89,45,MALE,PARENTS,2,BAD
90,36,MALE,RENT,4,GOOD
91,35,MALE,OWNED,3,GOOD
92,39,FEMALE,PARENTS,4,GOOD
93,31,FEMALE,OWNED,2,GOOD
94,22,FEMALE,PARENTS,1,GOOD
95,34,FEMALE,OTHERS,0,GOOD
96,33,FEMALE,OWNED,3,BAD
97,31,MALE,RENT,0,GOOD
98,35,FEMALE,OWNED,3,GOOD
99,41,FEMALE,OTHERS,4,BAD
100,35,MALE,OWNED,4,BAD
101,34,MALE,OTHERS,4,BAD
102,30,MALE,OWNED,4,GOOD
103,31,MALE,OTHERS,5,BAD
104,32,MALE,RENT,0,BAD
105,35,MALE,OWNED,2,GOOD
106,34,FEMALE,RENT,3,BAD
107,37,FEMALE,PARENTS,2,GOOD
108,26,FEMALE,OWNED,0,GOOD
109,29,FEMALE,RENT,3,BAD
110,33,MALE,OTHERS,5,BAD
111,30,MALE,OTHERS,1,BAD
112,28,FEMALE,OTHERS,0,GOOD
113,38,MALE,OTHERS,4,BAD
114,31,FEMALE,RENT,2,BAD
115,27,FEMALE,RENT,2,GOOD
116,36,MALE,RENT,3,GOOD
117,28,FEMALE,OWNED,0,GOOD
118,35,FEMALE,PARENTS,2,GOOD
119,44,MALE,OTHERS,4,BAD
120,30,FEMALE,OTHERS,0,GOOD
121,36,FEMALE,RENT,1,GOOD
122,34,FEMALE,OWNED,2,GOOD
123,26,MALE,OTHERS,1,BAD
124,30,FEMALE,OWNED,2,GOOD
125,28,MALE,OTHERS,1,GOOD
126,36,FEMALE,OWNED,3,GOOD
127,30,MALE,PARENTS,1,BAD
128,22,FEMALE,PARENTS,1,BAD
129,36,MALE,RENT,0,BAD
130,33,MALE,RENT,2,BAD
131,39,FEMALE,OWNED,2,GOOD
132,40,FEMALE,OWNED,3,GOOD
133,48,MALE,OTHERS,1,GOOD
134,40,FEMALE,OWNED,1,GOOD
135,28,MALE,RENT,0,BAD
136,38,MALE,RENT,3,BAD
137,29,MALE,RENT,0,BAD
138,31,MALE,OWNED,4,GOOD
139,29,MALE,OWNED,1,BAD
140,40,FEMALE,OWNED,1,GOOD
141,41,FEMALE,OWNED,5,GOOD
142,17,FEMALE,PARENTS,0,GOOD
143,31,MALE,OWNED,4,BAD
144,28,MALE,RENT,2,BAD
145,43,FEMALE,OWNED,3,GOOD
146,31,FEMALE,RENT,3,GOOD
147,31,FEMALE,OWNED,1,GOOD
148,30,MALE,OWNED,1,GOOD
149,32,FEMALE,OWNED,1,GOOD
150,27,MALE,OWNED,0,GOOD
151,33,MALE,RENT,5,BAD
152,43,MALE,RENT,1,BAD
153,40,FEMALE,OWNED,3,GOOD
154,43,MALE,OWNED,0,GOOD
155,46,FEMALE,OWNED,5,GOOD
156,34,MALE,RENT,2,BAD
157,37,FEMALE,OWNED,4,GOOD
158,35,MALE,OWNED,5,BAD
159,34,MALE,OWNED,4,BAD
160,41,MALE,RENT,3,BAD
161,40,FEMALE,PARENTS,3,GOOD
162,43,FEMALE,OWNED,3,GOOD
163,35,FEMALE,PARENTS,3,GOOD
164,27,FEMALE,OTHERS,0,GOOD
165,36,MALE,PARENTS,3,BAD
166,34,FEMALE,OWNED,4,GOOD
167,47,FEMALE,OWNED,1,GOOD
168,30,FEMALE,RENT,1,GOOD
169,31,FEMALE,OWNED,1,GOOD
170,25,FEMALE,PARENTS,0,GOOD
171,37,MALE,RENT,2,BAD
172,30,FEMALE,RENT,5,BAD
173,34,FEMALE,OWNED,1,GOOD
174,32,FEMALE,OWNED,1,GOOD
175,34,MALE,OWNED,1,GOOD
176,32,MALE,RENT,4,BAD
177,32,MALE,OWNED,5,BAD
